SubjectID,ObjectID,PresOrder,GazeBlock,TotalBlockDur,FixCount,MeanFixDur
tulip007,rolodex,10,1,60000,174,284.172413793103
tulip007,rolodex,10,2,8802.6112,19,407.421052631579
tulip007,crank flashlight,11,1,18105.3888,39,398.820512820513
tulip007,crank flashlight,11,2,13170.57792,25,446.4
tulip007,stethoscope,12,1,13003.86688,37,279.405405405405
tulip007,stethoscope,12,2,7468.888832,14,454.857142857143
tulip008,fishing reel,1,1,36710.7776,95,309.094736842105
tulip008,fishing reel,1,2,9036,22,358.136363636364
tulip008,blood pressure cuff,2,1,29608.755712,62,425.209677419355
tulip008,blood pressure cuff,2,2,533.488896,1,165
tulip008,stethoscope,3,1,6768.666624,25,173.84
tulip008,stethoscope,3,2,1900.55552,5,248
tulip008,french press,4,1,19305.711104,60,223.85
tulip008,french press,4,2,15104.477952,38,257.315789473684
tulip008,three hole punch,5,1,5401.600256,14,178.214285714286
tulip008,three hole punch,5,2,2634.12224,11,105.909090909091
tulip008,hand mixer,6,1,16238.144512,48,203.395833333333
tulip008,hand mixer,6,2,1233.700096,3,101.666666666667
tulip008,shoe horn,7,1,4134.555648,10,185.5
tulip008,shoe horn,7,2,166.71104,1,95
tulip008,bulb planter,8,1,15637.966848,50,158.6
tulip008,bulb planter,8,2,400.122112,2,107.5
tulip008,floppy disk,9,1,36644.200192,119,213.924369747899
tulip008,floppy disk,9,2,9736.222208,32,183.9375
tulip008,pocket radio,10,1,16771.633408,51,215.764705882353
tulip008,pocket radio,10,2,10269.711104,18,496.166666666667
tulip008,crank flashlight,11,1,34343.51104,112,180.580357142857
tulip008,crank flashlight,11,2,8502.511104,27,212.666666666667
tulip008,rolodex,12,1,35110.411264,114,235.324561403509
tulip008,rolodex,12,2,6968.722432,17,308.352941176471
tulip009,rolodex,1,1,31913.32224,77,347.467532467532
tulip009,shoe horn,2,1,12991.266816,34,310.294117647059
tulip009,shoe horn,2,2,7813.588736,21,308.904761904762
tulip009,hand mixer,3,1,19957.588736,47,354.510638297872
tulip009,hand mixer,3,2,7248.755712,19,286.421052631579
tulip009,floppy disk,4,1,13838.522112,29,401.48275862069
tulip009,floppy disk,4,2,6683.911168,15,348.866666666667
tulip009,bulb planter,5,1,25605.955584,65,320.015384615385
tulip009,bulb planter,5,2,7060.466688,15,366.2
tulip009,crank flashlight,6,1,30783.644416,69,355.95652173913
tulip009,crank flashlight,6,2,8472.55552,18,365.722222222222
tulip009,stethoscope,7,1,15721.299968,38,318.157894736842
tulip009,stethoscope,7,2,10637.766656,19,442.052631578947
tulip009,french press,8,1,25135.26656,59,333.135593220339
tulip009,french press,8,2,5083.533312,10,415.4
tulip009,fishing reel,9,1,28806.700032,74,306.162162162162
tulip009,fishing reel,9,2,4801.122304,8,409.125
tulip009,three hole punch,10,1,15909.588992,37,344.864864864865
tulip009,three hole punch,10,2,8754.977536,16,451.5625
tulip009,pocket radio,11,1,28147.733248,74,311.554054054054
tulip009,pocket radio,11,2,8849.122048,16,458.5
tulip010,pocket radio,1,1,14005.9776,26,479.5
tulip010,fishing reel,2,1,10938.744576,24,389.125
tulip010,fishing reel,2,2,5372.188928,11,453.363636363636
tulip010,crank flashlight,3,1,11224.03328,18,552.555555555556
tulip010,crank flashlight,3,2,8058.277888,11,677.363636363636
tulip010,french press,4,1,7098.95552,14,454.928571428571
tulip010,french press,4,2,2973.888768,5,497.4
tulip010,three hole punch,5,1,10168.777728,12,802.333333333333
tulip010,three hole punch,5,2,4029.133312,6,646.5
tulip010,floppy disk,6,1,21968.400128,28,713.821428571429
tulip010,floppy disk,6,2,3165.755392,5,568.4
tulip010,shoe horn,7,1,10744.366592,18,530.277777777778
tulip010,shoe horn,7,2,2973.889024,3,950.666666666667
tulip010,hand mixer,8,1,14869.444608,29,433.379310344828
tulip010,rolodex,9,1,9401.32224,23,372.782608695652
tulip010,rolodex,9,2,4892.52224,11,370.545454545455
tulip010,blood pressure cuff,10,1,7482.689024,14,500.357142857143
tulip010,blood pressure cuff,10,2,1726.7776,3,355
tulip010,stethoscope,11,1,4412.86656,8,464
tulip010,bulb planter,12,1,11128.100096,29,313.034482758621
tulip010,bulb planter,12,2,1918.64448,6,267.5
tulip011,bulb planter,1,1,10840.044288,28,313.214285714286
tulip011,bulb planter,1,2,7866.233344,18,347.055555555556
tulip011,pocket radio,2,1,7674.377728,14,394.785714285714
tulip011,pocket radio,2,2,5563.911168,13,293.538461538462
tulip011,hand mixer,3,1,10456.322048,26,300.923076923077
tulip011,hand mixer,3,2,9784.822016,24,299.041666666667
tulip011,rolodex,4,1,18514.411008,51,283.176470588235
tulip011,rolodex,4,2,6139.489024,14,389.857142857143
tulip011,three hole punch,5,1,11511.555584,27,314.592592592593
tulip011,three hole punch,5,2,3165.677824,5,564.6
tulip011,fishing reel,6,1,18514.411008,46,318.891304347826
tulip011,fishing reel,6,2,15252.811264,32,388.125
tulip011,crank flashlight,7,1,15444.666624,33,353.212121212121
tulip011,crank flashlight,7,2,6043.566848,13,362.461538461538
tulip011,stethoscope,8,1,14869.089024,37,310.945945945946
tulip011,stethoscope,8,2,2973.822208,7,347.285714285714
tulip011,floppy disk,9,1,11607.488768,21,435.714285714286
tulip011,floppy disk,9,2,6523.211008,16,242.9375
tulip011,shoe horn,10,1,9976.677888,22,364.045454545455
tulip011,shoe horn,10,2,8633.66656,21,296.619047619048
tulip011,french press,11,1,15060.944384,27,443.666666666667
tulip011,french press,11,2,2110.444288,6,287.666666666667
tulip011,blood pressure cuff,12,1,12470.855424,34,261.147058823529
tulip012,fishing reel,1,1,19857.433088,66,173.439393939394
tulip012,three hole punch,2,1,15924.31104,48,164.6875
tulip012,three hole punch,2,2,1630.811136,3,382
tulip012,french press,3,1,17746.977792,41,300.390243902439
tulip012,french press,3,2,10935.977728,19,477.947368421053
tulip012,rolodex,4,1,17555.122432,49,265.081632653061
tulip012,rolodex,4,2,9113.32224,22,350.181818181818
tulip012,crank flashlight,5,1,34918.377728,95,263.515789473684
tulip012,crank flashlight,5,2,14005.722112,31,136.129032258065
tulip012,hand mixer,6,1,20624.866816,59,191.389830508475
tulip012,hand mixer,6,2,11415.622144,27,167.222222222222
tulip012,pocket radio,7,1,51226.422016,150,251.006666666667
tulip012,pocket radio,7,2,33095.72224,92,206.521739130435
tulip012,blood pressure cuff,8,1,46046.22208,103,334.058252427184
tulip012,blood pressure cuff,8,2,27531.800064,63,334.349206349206
tulip012,stethoscope,9,1,18610.344192,55,225.854545454545
tulip012,stethoscope,9,2,9880.744192,30,183.166666666667
tulip012,floppy disk,10,1,40866.022144,99,317.939393939394
tulip012,floppy disk,10,2,2973.822208,11,187.727272727273
tulip012,bulb planter,11,1,31848.633344,99,196.858585858586
tulip012,bulb planter,11,2,13909.788928,26,197.576923076923
tulip012,shoe horn,12,1,8058.08896,25,204.6
tulip012,shoe horn,12,2,2590.099968,5,267
tulip013,floppy disk,1,1,45374.71104,97,404.185567010309
tulip013,floppy disk,1,2,40866.011136,92,372
tulip013,rolodex,2,1,34534.655488,77,383.285714285714
tulip013,rolodex,2,2,27915.51104,72,323.041666666667
tulip013,blood pressure cuff,3,1,60000,127,401.92125984252
tulip013,blood pressure cuff,3,2,25996.93312,58,387.706896551724
tulip013,shoe horn,4,1,13717.944576,30,346.666666666667
tulip013,shoe horn,4,2,10072.611072,16,505.125
tulip013,pocket radio,5,1,43839.833344,100,361.96
tulip013,bulb planter,6,1,59092.655616,131,346
tulip013,bulb planter,6,2,28011.44448,76,280.736842105263
tulip013,hand mixer,7,1,43647.977728,99,368.333333333333
tulip013,hand mixer,7,2,26764.366592,61,362.229508196721
tulip013,crank flashlight,8,1,60000,113,416.380530973451
tulip013,crank flashlight,8,2,22543.466752,46,347.108695652174
